id_vente;date;id_magasin;id_produit;quantite;Gross_Sales;COGS;marge;temps_livraison_jours;statut_livraison
SAL000050;2025-03-19;STR008;PROD008;4;60.0;24.0;36.0;2;À l'heure
SAL000051;2024-03-19;STR003;PROD001;1;5.5;3.2;2.3;1;À l'heure
SAL000052;2026-07-15;STR001;PROD004;7;26.6;14.0;12.6;1;À l'heure
SAL000053;2024-04-12;STR004;PROD011;4;50.0;16.0;34.0;1;À l'heure
SAL000054;2025-09-14;STR002;PROD001;3;16.5;9.6;6.9;2;À l'heure
SAL000055;2026-09-16;STR008;PROD001;6;33.0;19.2;13.8;4;En retard
SAL000056;2024-08-21;STR004;PROD010;2;79.8;30.0;49.8;1;À l'heure
SAL000057;2025-10-05;STR002;PROD012;1;29.9;12.0;17.9;1;À l'heure
SAL000058;2026-02-28;STR006;PROD011;2;25.0;8.0;17.0;1;À l'heure
SAL000059;2025-01-21;STR006;PROD008;2;30.0;12.0;18.0;1;À l'heure
SAL000060;2026-04-26;STR010;PROD007;1;79.9;35.0;44.9;2;À l'heure
SAL000061;2024-02-07;STR004;PROD012;1;29.9;12.0;17.9;1;À l'heure
SAL000062;2024-08-28;STR006;PROD010;2;79.8;30.0;49.8;4;En retard
SAL000063;2026-11-15;STR002;PROD013;4;199.6;88.0;111.6;5;En retard
SAL000064;2025-07-15;STR010;PROD001;7;38.5;22.4;16.1;1;À l'heure
SAL000065;2026-03-16;STR002;PROD011;3;37.5;12.0;25.5;1;À l'heure
SAL000066;2024-10-24;STR010;PROD013;2;99.8;44.0;55.8;1;À l'heure
SAL000067;2026-03-15;STR004;PROD002;6;13.2;6.6;6.6;2;À l'heure
SAL000068;2024-06-02;STR008;PROD004;4;15.2;8.0;7.2;4;En retard
SAL000069;2026-01-01;STR007;PROD001;6;33.0;19.2;13.8;3;À l'heure
SAL000070;2025-04-12;STR009;PROD003;9;30.6;16.2;14.4;2;À l'heure
SAL000071;2024-02-18;STR008;PROD008;1;15.0;6.0;9.0;1;À l'heure
SAL000072;2024-02-15;STR005;PROD008;3;45.0;18.0;27.0;2;À l'heure
SAL000073;2026-02-18;STR002;PROD008;4;60.0;24.0;36.0;1;À l'heure
SAL000074;2024-03-22;STR005;PROD006;1;19.9;8.5;11.4;4;En retard
SAL000075;2026-12-03;STR008;PROD006;1;19.9;8.5;11.4;3;À l'heure
SAL000076;2026-08-12;STR010;PROD005;1;59.9;25.0;34.9;2;À l'heure
SAL000077;2024-09-29;STR009;PROD013;3;149.7;66.0;83.7;1;À l'heure
SAL000078;2025-01-28;STR009;PROD009;1;45.0;18.0;27.0;1;À l'heure
SAL000079;2026-02-28;STR001;PROD004;3;11.4;6.0;5.4;1;À l'heure
SAL000080;2025-08-17;STR009;PROD010;1;39.9;15.0;24.9;2;À l'heure
SAL000081;2024-02-27;STR007;PROD012;2;59.8;24.0;35.8;1;À l'heure
SAL000082;2025-07-18;STR009;PROD012;4;119.6;48.0;71.6;2;À l'heure
SAL000083;2024-01-01;STR008;PROD012;3;89.7;36.0;53.7;2;À l'heure
SAL000084;2024-08-03;STR001;PROD007;1;79.9;35.0;44.9;1;À l'heure
SAL000085;2026-02-04;STR008;PROD001;4;22.0;12.8;9.2;1;À l'heure
SAL000086;2025-11-01;STR008;PROD009;2;90.0;36.0;54.0;2;À l'heure
SAL000087;2025-05-25;STR003;PROD007;1;79.9;35.0;44.9;1;À l'heure
SAL000088;2026-07-03;STR001;PROD010;4;159.6;60.0;99.6;1;À l'heure
SAL000089;2024-04-04;STR008;PROD012;2;59.8;24.0;35.8;2;À l'heure
SAL000090;2025-05-07;STR003;PROD009;1;45.0;18.0;27.0;3;À l'heure
SAL000091;2026-02-03;STR003;PROD007;1;79.9;35.0;44.9;1;À l'heure
SAL000092;2026-10-18;STR001;PROD002;3;6.6;3.3;3.3;3;À l'heure
SAL000093;2024-05-29;STR005;PROD006;1;19.9;8.5;11.4;3;À l'heure
SAL000094;2026-11-12;STR010;PROD010;3;119.7;45.0;74.7;1;À l'heure
SAL000095;2026-01-25;STR007;PROD012;3;89.7;36.0;53.7;1;À l'heure
SAL000096;2025-02-02;STR010;PROD011;3;37.5;12.0;25.5;2;À l'heure
SAL000097;2025-02-13;STR009;PROD004;7;26.6;14.0;12.6;4;En retard
SAL000098;2024-05-10;STR007;PROD003;6;20.4;10.8;9.6;4;En retard
SAL000099;2026-05-04;STR009;PROD002;10;22.0;11.0;11.0;1;À l'heure
SAL000100;2024-05-27;STR008;PROD006;1;19.9;8.5;11.4;1;À l'heure
SAL000101;2025-01-15;STR002;PROD008;3;45.0;18.0;27.0;2;À l'heure
SAL000102;2025-07-05;STR001;PROD006;1;19.9;8.5;11.4;1;À l'heure
SAL000103;2024-10-21;STR007;PROD009;2;90.0;36.0;54.0;5;En retard
SAL000104;2025-03-31;STR007;PROD005;1;59.9;25.0;34.9;1;À l'heure
SAL000105;2024-06-17;STR008;PROD002;3;6.6;3.3;3.3;1;À l'heure
SAL000106;2025-12-10;STR005;PROD008;3;45.0;18.0;27.0;5;En retard
SAL000107;2024-02-06;STR003;PROD009;1;45.0;18.0;27.0;1;À l'heure
SAL000108;2024-08-18;STR008;PROD010;1;39.9;15.0;24.9;1;À l'heure
SAL000109;2024-09-10;STR006;PROD004;4;15.2;8.0;7.2;1;À l'heure
SAL000110;2024-11-24;STR003;PROD006;1;19.9;8.5;11.4;1;À l'heure
SAL000111;2026-09-06;STR001;PROD011;1;12.5;4.0;8.5;1;À l'heure
SAL000112;2024-01-10;STR003;PROD010;3;119.7;45.0;74.7;3;À l'heure
SAL000113;2025-03-21;STR005;PROD008;2;30.0;12.0;18.0;1;À l'heure
SAL000114;2026-07-10;STR003;PROD009;3;135.0;54.0;81.0;1;À l'heure
SAL000115;2026-04-15;STR001;PROD012;1;29.9;12.0;17.9;2;À l'heure
SAL000116;2024-03-18;STR005;PROD005;1;59.9;25.0;34.9;5;En retard
SAL000117;2024-07-11;STR010;PROD012;1;29.9;12.0;17.9;2;À l'heure
SAL000118;2025-02-04;STR007;PROD006;1;19.9;8.5;11.4;4;En retard
SAL000119;2024-04-18;STR007;PROD011;3;37.5;12.0;25.5;5;En retard
SAL000120;2026-03-02;STR009;PROD004;9;34.2;18.0;16.2;2;À l'heure
SAL000121;2024-09-19;STR010;PROD005;1;59.9;25.0;34.9;5;En retard
SAL000122;2024-11-24;STR010;PROD007;1;79.9;35.0;44.9;4;En retard
SAL000123;2024-12-28;STR003;PROD009;3;135.0;54.0;81.0;2;À l'heure
SAL000124;2024-09-15;STR007;PROD010;3;119.7;45.0;74.7;2;À l'heure
SAL000125;2024-03-25;STR001;PROD011;1;12.5;4.0;8.5;3;À l'heure
SAL000126;2024-11-03;STR004;PROD013;1;49.9;22.0;27.9;1;À l'heure
SAL000127;2024-09-18;STR004;PROD006;1;19.9;8.5;11.4;2;À l'heure
SAL000128;2026-03-07;STR005;PROD006;1;19.9;8.5;11.4;1;À l'heure
SAL000129;2025-09-22;STR007;PROD008;3;45.0;18.0;27.0;4;En retard
SAL000130;2025-11-10;STR007;PROD011;2;25.0;8.0;17.0;5;En retard
SAL000131;2026-05-14;STR004;PROD004;10;38.0;20.0;18.0;2;À l'heure
SAL000132;2024-11-19;STR007;PROD003;5;17.0;9.0;8.0;4;En retard
SAL000133;2026-07-13;STR003;PROD007;1;79.9;35.0;44.9;2;À l'heure
SAL000134;2025-12-27;STR006;PROD005;1;59.9;25.0;34.9;5;En retard
SAL000135;2026-09-04;STR002;PROD002;15;33.0;16.5;16.5;2;À l'heure
SAL000136;2024-08-04;STR010;PROD002;5;11.0;5.5;5.5;2;À l'heure
SAL000137;2025-03-23;STR009;PROD011;1;12.5;4.0;8.5;1;À l'heure
SAL000138;2024-11-14;STR005;PROD006;1;19.9;8.5;11.4;2;À l'heure
SAL000139;2026-09-20;STR006;PROD008;3;45.0;18.0;27.0;1;À l'heure
SAL000140;2024-02-06;STR004;PROD001;13;71.5;41.6;29.9;2;À l'heure
SAL000141;2025-12-31;STR010;PROD011;4;50.0;16.0;34.0;1;À l'heure
SAL000142;2026-10-07;STR007;PROD006;1;19.9;8.5;11.4;7;En retard
SAL000143;2026-11-23;STR009;PROD012;3;89.7;36.0;53.7;1;À l'heure
SAL000144;2024-02-08;STR007;PROD002;3;6.6;3.3;3.3;5;En retard
SAL000145;2024-07-27;STR001;PROD002;7;15.4;7.7;7.7;1;À l'heure
SAL000146;2026-04-09;STR001;PROD007;1;79.9;35.0;44.9;1;À l'heure
SAL000147;2026-05-05;STR009;PROD010;1;39.9;15.0;24.9;1;À l'heure
SAL000148;2026-06-17;STR009;PROD001;6;33.0;19.2;13.8;2;À l'heure
SAL000149;2025-08-23;STR004;PROD006;1;19.9;8.5;11.4;2;À l'heure
SAL000150;2026-01-29;STR009;PROD007;1;79.9;35.0;44.9;2;À l'heure
SAL000151;2025-03-09;STR003;PROD008;3;45.0;18.0;27.0;2;À l'heure
SAL000152;2026-04-21;STR007;PROD007;1;79.9;35.0;44.9;5;En retard
SAL000153;2024-02-01;STR006;PROD006;1;19.9;8.5;11.4;1;À l'heure
SAL000154;2025-01-27;STR008;PROD009;4;180.0;72.0;108.0;1;À l'heure
SAL000155;2026-06-28;STR009;PROD013;4;199.6;88.0;111.6;1;À l'heure
SAL000156;2024-07-10;STR005;PROD003;5;17.0;9.0;8.0;1;À l'heure
SAL000157;2024-09-26;STR001;PROD011;4;50.0;16.0;34.0;2;À l'heure
SAL000158;2026-01-07;STR003;PROD006;1;19.9;8.5;11.4;1;À l'heure
SAL000159;2024-03-17;STR010;PROD004;9;34.2;18.0;16.2;3;À l'heure
SAL000160;2026-01-04;STR008;PROD002;7;15.4;7.7;7.7;5;En retard
SAL000161;2026-06-02;STR006;PROD001;15;82.5;48.0;34.5;1;À l'heure
SAL000162;2024-10-10;STR008;PROD012;2;59.8;24.0;35.8;5;En retard
SAL000163;2025-06-27;STR009;PROD012;3;89.7;36.0;53.7;2;À l'heure
SAL000164;2025-10-10;STR004;PROD001;6;33.0;19.2;13.8;1;À l'heure
SAL000165;2024-09-06;STR001;PROD011;4;50.0;16.0;34.0;1;À l'heure
SAL000166;2024-04-04;STR001;PROD010;4;159.6;60.0;99.6;1;À l'heure
SAL000167;2024-01-17;STR010;PROD003;1;3.4;1.8;1.6;3;À l'heure
SAL000168;2024-04-26;STR004;PROD004;4;15.2;8.0;7.2;2;À l'heure
SAL000169;2026-09-09;STR007;PROD002;7;15.4;7.7;7.7;1;À l'heure
SAL000170;2024-11-28;STR002;PROD013;1;49.9;22.0;27.9;1;À l'heure
SAL000171;2025-10-07;STR003;PROD012;2;59.8;24.0;35.8;1;À l'heure
SAL000172;2024-04-25;STR001;PROD011;3;37.5;12.0;25.5;1;À l'heure
SAL000173;2026-08-20;STR005;PROD011;2;25.0;8.0;17.0;1;À l'heure
SAL000174;2026-04-26;STR001;PROD011;1;12.5;4.0;8.5;2;À l'heure
SAL000175;2024-11-11;STR008;PROD001;2;11.0;6.4;4.6;2;À l'heure
SAL000176;2026-03-20;STR001;PROD004;7;26.6;14.0;12.6;1;À l'heure
SAL000177;2025-01-06;STR001;PROD007;1;79.9;35.0;44.9;3;À l'heure
SAL000178;2026-01-29;STR002;PROD010;1;39.9;15.0;24.9;1;À l'heure
SAL000179;2026-05-26;STR002;PROD011;3;37.5;12.0;25.5;1;À l'heure
SAL000180;2026-09-03;STR006;PROD006;1;19.9;8.5;11.4;1;À l'heure
SAL000181;2024-06-04;STR007;PROD006;1;19.9;8.5;11.4;2;À l'heure
SAL000182;2025-09-05;STR005;PROD011;3;37.5;12.0;25.5;4;En retard
SAL000183;2026-11-02;STR001;PROD009;1;45.0;18.0;27.0;2;À l'heure
SAL000184;2025-05-22;STR001;PROD002;12;26.4;13.2;13.2;3;À l'heure
SAL000185;2025-04-09;STR003;PROD004;6;22.8;12.0;10.8;1;À l'heure
SAL000186;2026-02-21;STR002;PROD005;1;59.9;25.0;34.9;2;À l'heure
SAL000187;2026-03-14;STR005;PROD001;2;11.0;6.4;4.6;5;En retard
SAL000188;2024-08-07;STR010;PROD008;3;45.0;18.0;27.0;5;En retard
SAL000189;2024-01-15;STR006;PROD008;2;30.0;12.0;18.0;2;À l'heure
SAL000190;2024-04-26;STR007;PROD006;1;19.9;8.5;11.4;4;En retard
SAL000191;2024-11-26;STR004;PROD012;3;89.7;36.0;53.7;2;À l'heure
SAL000192;2024-02-25;STR007;PROD005;1;59.9;25.0;34.9;1;À l'heure
SAL000193;2024-11-03;STR008;PROD008;4;60.0;24.0;36.0;3;À l'heure
SAL000194;2024-08-09;STR001;PROD003;6;20.4;10.8;9.6;1;À l'heure
SAL000195;2026-03-07;STR006;PROD003;6;20.4;10.8;9.6;1;À l'heure
SAL000196;2024-05-30;STR008;PROD002;5;11.0;5.5;5.5;4;En retard
SAL000197;2024-04-21;STR005;PROD005;1;59.9;25.0;34.9;2;À l'heure
SAL000198;2025-11-13;STR004;PROD003;7;23.8;12.6;11.2;3;À l'heure
SAL000199;2024-11-27;STR002;PROD003;4;13.6;7.2;6.4;1;À l'heure
SAL000200;2026-06-11;STR006;PROD006;1;19.9;8.5;11.4;2;À l'heure
SAL000201;2024-06-09;STR006;PROD008;1;15.0;6.0;9.0;1;À l'heure
SAL000202;2024-10-04;STR001;PROD002;15;33.0;16.5;16.5;3;À l'heure
SAL000203;2026-06-15;STR009;PROD004;7;26.6;14.0;12.6;3;À l'heure
SAL000204;2025-05-11;STR006;PROD011;1;12.5;4.0;8.5;2;À l'heure
SAL000205;2025-10-16;STR003;PROD007;1;79.9;35.0;44.9;1;À l'heure
SAL000206;2026-11-25;STR004;PROD001;10;55.0;32.0;23.0;3;À l'heure
SAL000207;2024-10-29;STR004;PROD001;3;16.5;9.6;6.9;2;À l'heure
SAL000208;2025-03-13;STR003;PROD012;1;29.9;12.0;17.9;1;À l'heure
SAL000209;2025-12-26;STR010;PROD013;4;199.6;88.0;111.6;1;À l'heure
SAL000210;2026-11-21;STR003;PROD010;1;39.9;15.0;24.9;1;À l'heure
SAL000211;2024-07-04;STR003;PROD007;1;79.9;35.0;44.9;1;À l'heure
SAL000212;2025-11-03;STR004;PROD007;1;79.9;35.0;44.9;2;À l'heure
SAL000213;2026-09-27;STR007;PROD001;4;22.0;12.8;9.2;6;En retard
SAL000214;2024-10-05;STR004;PROD001;15;82.5;48.0;34.5;2;À l'heure
SAL000215;2025-11-13;STR009;PROD004;1;3.8;2.0;1.8;1;À l'heure
SAL000216;2026-10-22;STR001;PROD005;1;59.9;25.0;34.9;1;À l'heure
SAL000217;2026-10-07;STR008;PROD005;1;59.9;25.0;34.9;1;À l'heure
SAL000218;2026-07-13;STR007;PROD004;7;26.6;14.0;12.6;2;À l'heure
SAL000219;2025-01-14;STR002;PROD008;1;15.0;6.0;9.0;2;À l'heure
SAL000220;2026-04-14;STR008;PROD007;1;79.9;35.0;44.9;1;À l'heure
SAL000221;2026-09-25;STR001;PROD009;3;135.0;54.0;81.0;2;À l'heure
SAL000222;2024-10-11;STR009;PROD007;1;79.9;35.0;44.9;2;À l'heure
SAL000223;2025-02-24;STR009;PROD010;4;159.6;60.0;99.6;2;À l'heure
SAL000224;2024-04-22;STR002;PROD001;1;5.5;3.2;2.3;1;À l'heure
SAL000225;2026-10-14;STR007;PROD013;1;49.9;22.0;27.9;4;En retard
SAL000226;2024-08-15;STR010;PROD007;1;79.9;35.0;44.9;1;À l'heure
SAL000227;2025-06-11;STR003;PROD001;15;82.5;48.0;34.5;4;En retard
SAL000228;2025-05-10;STR007;PROD007;1;79.9;35.0;44.9;1;À l'heure
SAL000229;2024-01-31;STR010;PROD010;3;119.7;45.0;74.7;2;À l'heure
SAL000230;2024-06-10;STR009;PROD008;3;45.0;18.0;27.0;5;En retard
SAL000231;2025-12-05;STR004;PROD011;4;50.0;16.0;34.0;1;À l'heure
SAL000232;2025-12-22;STR001;PROD009;3;135.0;54.0;81.0;1;À l'heure
SAL000233;2025-03-21;STR002;PROD012;1;29.9;12.0;17.9;1;À l'heure
SAL000234;2026-01-13;STR001;PROD003;13;44.2;23.4;20.8;1;À l'heure
SAL000235;2025-03-02;STR005;PROD004;4;15.2;8.0;7.2;2;À l'heure
SAL000236;2025-05-18;STR005;PROD004;1;3.8;2.0;1.8;4;En retard
SAL000237;2025-12-21;STR007;PROD012;2;59.8;24.0;35.8;5;En retard
SAL000238;2025-11-14;STR009;PROD009;4;180.0;72.0;108.0;1;À l'heure
SAL000239;2025-08-04;STR009;PROD013;1;49.9;22.0;27.9;4;En retard
SAL000240;2026-11-23;STR003;PROD007;1;79.9;35.0;44.9;1;À l'heure
SAL000241;2026-01-05;STR003;PROD003;12;40.8;21.6;19.2;1;À l'heure
SAL000242;2025-11-21;STR003;PROD010;4;159.6;60.0;99.6;3;À l'heure
SAL000243;2026-01-27;STR004;PROD005;1;59.9;25.0;34.9;2;À l'heure
SAL000244;2026-01-23;STR008;PROD007;1;79.9;35.0;44.9;3;À l'heure
SAL000245;2024-01-24;STR006;PROD008;1;15.0;6.0;9.0;1;À l'heure
SAL000246;2024-02-24;STR008;PROD001;3;16.5;9.6;6.9;5;En retard
SAL000247;2026-11-15;STR001;PROD012;4;119.6;48.0;71.6;2;À l'heure
SAL000248;2026-03-14;STR008;PROD002;10;22.0;11.0;11.0;1;À l'heure
SAL000249;2024-11-22;STR004;PROD007;1;79.9;35.0;44.9;3;À l'heure
SAL000250;2026-08-27;STR001;PROD011;3;37.5;12.0;25.5;1;À l'heure
SAL000251;2024-07-04;STR008;PROD013;1;49.9;22.0;27.9;5;En retard
SAL000252;2025-05-09;STR004;PROD013;1;49.9;22.0;27.9;2;À l'heure
SAL000253;2026-11-01;STR006;PROD002;6;13.2;6.6;6.6;2;À l'heure
SAL000254;2025-03-09;STR008;PROD007;1;79.9;35.0;44.9;1;À l'heure
SAL000255;2024-07-26;STR004;PROD009;3;135.0;54.0;81.0;1;À l'heure
SAL000256;2024-05-12;STR003;PROD011;3;37.5;12.0;25.5;3;À l'heure
SAL000257;2025-01-03;STR009;PROD002;12;26.4;13.2;13.2;1;À l'heure
SAL000258;2025-02-26;STR003;PROD007;1;79.9;35.0;44.9;2;À l'heure
SAL000259;2026-10-29;STR009;PROD004;3;11.4;6.0;5.4;1;À l'heure
SAL000260;2024-08-31;STR002;PROD011;3;37.5;12.0;25.5;1;À l'heure
SAL000261;2026-02-20;STR002;PROD013;3;149.7;66.0;83.7;1;À l'heure
SAL000262;2025-09-15;STR002;PROD002;7;15.4;7.7;7.7;1;À l'heure
SAL000263;2025-07-20;STR006;PROD013;3;149.7;66.0;83.7;2;À l'heure
SAL000264;2025-06-10;STR003;PROD007;1;79.9;35.0;44.9;1;À l'heure
SAL000265;2024-02-06;STR009;PROD013;1;49.9;22.0;27.9;1;À l'heure
SAL000266;2024-06-26;STR004;PROD005;1;59.9;25.0;34.9;2;À l'heure
SAL000267;2025-09-30;STR001;PROD001;12;66.0;38.4;27.6;2;À l'heure
SAL000268;2026-05-01;STR004;PROD005;1;59.9;25.0;34.9;1;À l'heure
SAL000269;2024-03-12;STR001;PROD012;1;29.9;12.0;17.9;4;En retard
SAL000270;2024-12-17;STR005;PROD012;1;29.9;12.0;17.9;5;En retard
SAL000271;2025-09-14;STR004;PROD003;12;40.8;21.6;19.2;2;À l'heure
SAL000272;2024-04-14;STR008;PROD007;1;79.9;35.0;44.9;1;À l'heure
SAL000273;2024-08-08;STR008;PROD006;1;19.9;8.5;11.4;4;En retard
SAL000274;2026-05-12;STR007;PROD008;1;15.0;6.0;9.0;1;À l'heure
SAL000275;2025-06-01;STR003;PROD013;4;199.6;88.0;111.6;1;À l'heure
SAL000276;2024-10-25;STR001;PROD005;1;59.9;25.0;34.9;1;À l'heure
SAL000277;2026-05-10;STR001;PROD002;15;33.0;16.5;16.5;1;À l'heure
SAL000278;2024-02-11;STR003;PROD009;3;135.0;54.0;81.0;1;À l'heure
SAL000279;2026-02-09;STR006;PROD011;2;25.0;8.0;17.0;2;À l'heure
SAL000280;2026-06-15;STR007;PROD008;1;15.0;6.0;9.0;4;En retard
SAL000281;2025-05-06;STR006;PROD006;1;19.9;8.5;11.4;1;À l'heure
SAL000282;2026-12-06;STR006;PROD013;4;199.6;88.0;111.6;5;En retard
SAL000283;2024-03-25;STR006;PROD010;1;39.9;15.0;24.9;2;À l'heure
SAL000284;2026-12-17;STR003;PROD007;1;79.9;35.0;44.9;3;À l'heure
SAL000285;2026-09-17;STR006;PROD009;1;45.0;18.0;27.0;3;À l'heure
SAL000286;2025-12-11;STR008;PROD007;1;79.9;35.0;44.9;1;À l'heure
SAL000287;2024-07-27;STR002;PROD003;15;51.0;27.0;24.0;2;À l'heure
SAL000288;2024-02-08;STR005;PROD006;1;19.9;8.5;11.4;1;À l'heure
SAL000289;2026-07-14;STR001;PROD011;3;37.5;12.0;25.5;1;À l'heure
SAL000290;2026-01-31;STR001;PROD013;3;149.7;66.0;83.7;2;À l'heure
SAL000291;2026-08-03;STR005;PROD011;2;25.0;8.0;17.0;1;À l'heure
SAL000292;2024-02-21;STR003;PROD007;1;79.9;35.0;44.9;1;À l'heure
SAL000293;2025-01-08;STR004;PROD002;4;8.8;4.4;4.4;3;À l'heure
SAL000294;2026-07-19;STR003;PROD003;1;3.4;1.8;1.6;2;À l'heure
SAL000295;2024-06-04;STR001;PROD004;9;34.2;18.0;16.2;1;À l'heure
SAL000296;2025-11-09;STR001;PROD010;4;159.6;60.0;99.6;2;À l'heure
SAL000297;2024-12-16;STR005;PROD006;1;19.9;8.5;11.4;4;En retard
SAL000298;2024-03-09;STR006;PROD001;5;27.5;16.0;11.5;2;À l'heure
SAL000299;2026-12-11;STR003;PROD009;4;180.0;72.0;108.0;1;À l'heure
SAL000300;2025-10-15;STR009;PROD005;1;59.9;25.0;34.9;1;À l'heure
SAL000301;2024-03-03;STR005;PROD013;2;99.8;44.0;55.8;1;À l'heure
SAL000302;2025-05-23;STR008;PROD012;2;59.8;24.0;35.8;1;À l'heure
SAL000303;2024-10-18;STR001;PROD007;1;79.9;35.0;44.9;1;À l'heure
SAL000304;2026-03-31;STR005;PROD009;2;90.0;36.0;54.0;1;À l'heure
SAL000305;2024-05-29;STR003;PROD009;3;135.0;54.0;81.0;5;En retard
SAL000306;2026-05-30;STR001;PROD001;6;33.0;19.2;13.8;3;À l'heure
SAL000307;2025-12-04;STR004;PROD001;10;55.0;32.0;23.0;1;À l'heure
SAL000308;2025-05-30;STR005;PROD003;5;17.0;9.0;8.0;3;À l'heure
SAL000309;2024-01-30;STR007;PROD006;1;19.9;8.5;11.4;1;À l'heure
SAL000310;2024-11-21;STR001;PROD002;12;26.4;13.2;13.2;1;À l'heure
SAL000311;2026-08-06;STR003;PROD010;1;39.9;15.0;24.9;1;À l'heure
SAL000312;2024-01-16;STR002;PROD012;4;119.6;48.0;71.6;1;À l'heure
SAL000313;2024-04-20;STR009;PROD011;4;50.0;16.0;34.0;2;À l'heure
SAL000314;2026-05-21;STR010;PROD001;13;71.5;41.6;29.9;1;À l'heure
SAL000315;2025-12-13;STR006;PROD001;7;38.5;22.4;16.1;1;À l'heure
SAL000316;2024-04-16;STR010;PROD013;2;99.8;44.0;55.8;2;À l'heure
SAL000317;2025-01-13;STR003;PROD005;1;59.9;25.0;34.9;2;À l'heure
SAL000318;2024-06-10;STR008;PROD004;6;22.8;12.0;10.8;1;À l'heure
